C:\Dell\IMG\center_2020_01_12_13_45_15_222.jpg, C:\Dell\IMG\left_2020_01_12_13_45_15_222.jpg, C:\Dell\IMG\right_2020_01_12_13_45_15_222.jpg, 0, 0, 0, 7.800921E-05
C:\Dell\IMG\center_2020_01_12_13_45_15_331.jpg, C:\Dell\IMG\left_2020_01_12_13_45_15_331.jpg, C:\Dell\IMG\right_2020_01_12_13_45_15_331.jpg, 0, 0, 0, 7.899515E-05
C:\Dell\IMG\center_2020_01_12_13_45_15_436.jpg, C:\Dell\IMG\left_2020_01_12_13_45_15_436.jpg, C:\Dell\IMG\right_2020_01_12_13_45_15_436.jpg, 0, 0, 0, 7.828027E-05
C:\Dell\IMG\center_2020_01_12_13_45_15_548.jpg, C:\Dell\IMG\left_2020_01_12_13_45_15_548.jpg, C:\Dell\IMG\right_2020_01_12_13_45_15_548.jpg, 0, 0, 0, 7.949022E-05
C:\Dell\IMG\center_2020_01_12_13_45_15_656.jpg, C:\Dell\IMG\left_2020_01_12_13_45_15_656.jpg, C:\Dell\IMG\right_2020_01_12_13_45_15_656.jpg, 0, 0, 0, 7.798241E-05
C:\Dell\IMG\center_2020_01_12_13_45_15_765.jpg, C:\Dell\IMG\left_2020_01_12_13_45_15_765.jpg, C:\Dell\IMG\right_2020_01_12_13_45_15_765.jpg, 0, 0, 0, 7.773507E-05
C:\Dell\IMG\center_2020_01_12_13_45_15_881.jpg, C:\Dell\IMG\left_2020_01_12_13_45_15_881.jpg, C:\Dell\IMG\right_2020_01_12_13_45_15_881.jpg, 0, 0, 0, 7.836351E-05
C:\Dell\IMG\center_2020_01_12_13_45_15_988.jpg, C:\Dell\IMG\left_2020_01_12_13_45_15_988.jpg, C:\Dell\IMG\right_2020_01_12_13_45_15_988.jpg, 0, 0, 0, 7.833818E-05
C:\Dell\IMG\center_2020_01_12_13_45_16_097.jpg, C:\Dell\IMG\left_2020_01_12_13_45_16_097.jpg, C:\Dell\IMG\right_2020_01_12_13_45_16_097.jpg, 0, 0, 0, 8.170406E-05
C:\Dell\IMG\center_2020_01_12_13_45_16_203.jpg, C:\Dell\IMG\left_2020_01_12_13_45_16_203.jpg, C:\Dell\IMG\right_2020_01_12_13_45_16_203.jpg, 0, 0, 0, 7.898246E-05
